two	572 659 604 667 
hundred	610 658 680 667 
forty	685 658 727 670 
only	314 672 350 682 
PERIOD	91 687 149 695 
OF	155 687 175 695 
INSURANCE	179 687 270 695 
:	293 689 296 695 
From	303 687 340 695 
:	350 689 353 695 
30-Jan-2023	363 687 448 695 
01:01	463 687 502 695 
To	574 687 593 695 
:	597 689 601 695 
Midnight	607 687 664 697 
Of	669 687 685 695 
29-Jan-2024	689 687 775 695 
Policy	808 687 852 697 
Term	857 687 896 695 
:1	902 687 913 695 
Year	919 687 950 695 
Installment	90 703 179 711 
Facility	183 703 237 714 
Option:	242 703 296 713 
No	299 704 316 712 
Premium	341 704 408 712 
Payment	414 704 480 714 
Frequency	485 704 563 714 
Annual	571 704 619 712 
Installment	684 703 772 711 
Amount	776 704 835 711 
Rs.	840 704 863 711 
:	868 705 872 712 
0/-	877 703 897 713 
Policy	91 718 140 729 
Type	146 718 188 729 
:	193 720 197 727 
INDIVIDUAL	203 718 298 727 
Details	81 735 132 743 
of	137 734 152 742 
Insured	157 734 216 742 
Persons	221 735 281 743 
:	286 737 290 743 
SI.	89 753 105 760 
Age	425 758 451 767 
in	454 758 466 766 
Relationship	485 753 566 762 
ID	584 758 600 765 
Card	605 758 635 766 
Co-	733 758 755 765 
Sum	797 758 825 765 
No.	87 763 107 770 
Name	163 764 200 770 
Gender	258 764 306 770 
Date	324 764 355 770 
of	359 763 372 770 
Birth	376 764 408 771 
with	511 764 540 771 
OP	653 764 672 770 
Limit	676 763 710 770 
Yrs	435 768 456 775 
No	601 768 618 776 
Pay	733 768 756 777 
Insured	785 768 837 775 
Inception	857 764 920 773 
date	925 764 954 771 
Proposer	497 773 555 782 
ANBAZHAGI	117 787 189 794 
ME03566	583 792 636 799 
1	94 797 100 804 
RAMAMOORTHY	118 798 212 805 
Female	261 797 303 804 
23-Dec-1956	327 797 405 805 
66	439 797 453 805 
Mother	505 797 546 804 
1,000	682 797 715 805 
30	751 797 766 805 
20288	591 802 628 810 
5,00,000	797 797 849 806 
30-Jan-2023	868 797 943 805 
Pre	84 822 106 829 
Existing	111 822 163 831 
Disease	167 822 218 829 
:	223 824 226 829 
Hypertension	261 820 338 829 
and	342 820 364 827 
its	368 820 382 827 
complications	387 820 466 829 
Diabetes	261 831 312 838 
Mellitus	316 831 360 838 
and	365 831 386 838 
its	390 831 404 838 
complications	409 831 489 839 
Entered	31 892 76 899 
by	80 892 94 900 
:	115 894 118 899 
STAR_PORTAL	128 892 212 900 
For	650 892 668 899 
Star	673 892 698 899 
Health	702 892 739 899 
and	743 892 765 899 
Allied	769 892 801 899 
Insurance	806 892 864 899 
Company	868 892 923 901 
Ltd.	929 892 950 899 
Approved	30 904 85 912 
by	90 903 104 912 
:	115 905 118 911 
CUSTPORTAL	128 904 206 911 
IRDA	30 919 65 926 
Regn.No.129	69 919 153 928 
R.Mr	747 911 820 933 
Corporate	30 936 95 944 
Identity	100 936 153 945 
Number	157 936 210 943 
L66010TN2005PLC056649	214 936 388 943 
Authorised	704 943 768 950 
Signatory	772 943 828 952 
Page	891 943 919 952 
2	923 943 930 950 
of	935 943 946 950 
7	950 943 958 950 
Email	31 953 66 960 
ID:	70 953 91 959 
info@starhealth.in	96 952 215 960 
Regd.&Corporate	51 971 152 979 
Office:	156 971 192 978 
1,New	197 971 232 978 
Tank	236 971 265 977 
Street,Valluvar	271 971 358 979 
Kottam	362 971 405 977 
High	410 971 436 979 
Road,Nungambakkam,Chennai	442 971 622 979 
-	627 973 632 976 
600034,Phone	636 971 721 979 
:	726 972 729 977 
044-28302700	738 971 826 977 
/	830 971 836 978 
28288800	840 971 900 977 
Toll	904 971 924 977 
Free	75 980 100 987 
Fax	105 980 125 987 
No:	130 981 149 988 
1800-425-5522	156 980 247 987 
Toll	251 980 272 987 
Free	277 980 302 987 
No:	307 980 327 987 
1800-425-2255	329 980 421 988 
/	424 980 430 988 
1800-102-4477,CIN	435 980 548 989 
:	559 982 562 987 
L66010TN2005PLC056649	567 980 724 988 
Email	728 980 760 988 
:support@starhealth.in	765 980 900 989 
Website	344 990 391 998 
:www.starhealth.in	396 991 507 998 
IRDAI	512 991 547 998 
Regn.no:	551 991 604 999 
129	610 991 631 998 

Star	241 27 292 42 
Health	301 27 381 42 
And	388 27 440 42 
Allied	448 27 521 42 
Insurance	529 27 655 42 
Company	664 27 785 46 
Limited	795 27 889 42 
STAR	113 41 194 56 
Health	202 50 228 56 
Personal	126 56 160 62 
&	160 57 167 62 
Caring	169 57 193 62 
Insurance	201 57 240 62 
The	97 65 111 70 
Health	114 65 140 71 
Insurance	141 66 181 71 
Specialist	185 65 225 71 
Attached	71 90 164 101 
to	170 91 192 101 
and	198 90 236 101 
forming	243 90 324 103 
part	332 91 374 103 
of	380 90 402 101 
Policy	408 90 468 103 
No:	475 91 509 101 
11230238321500	523 90 708 101 
Nominee	81 125 164 135 
Details:	170 125 240 136 
Nominee	160 147 235 156 
Details	240 147 298 156 
for	304 147 328 156 
the	333 147 361 156 
Proposer	367 147 442 158 
Appointee	667 147 753 158 
Details	759 147 817 156 
S.No	86 163 125 172 
Name	177 163 225 172 
Relationship	284 163 388 174 
Age	404 163 436 174 
%	444 163 463 172 
of	468 163 486 172 
the	490 163 518 172 
Appointee	550 163 636 174 
Name	642 163 690 172 
Appointee	727 163 814 174 
Relationship	841 163 947 174 
with	277 177 314 186 
proposer	321 178 396 188 
claim	459 176 503 186 
Age	754 177 787 188 
with	835 176 873 186 
nominee	878 176 952 185 
1	101 212 108 221 
M	145 212 156 221 
ANBAZHAGI	162 212 255 221 
Mother	310 212 362 221 
66	410 212 429 221 
100	467 212 494 221 
Sector	80 236 141 246 
Classification:	146 236 278 246 
Urban	89 256 134 265 
No	249 256 269 265 
"CONSOLIDATED	87 295 216 303 
STAMP	221 295 272 303 
DUTY	277 295 318 303 
PAID	322 295 361 303 
VIDE	365 295 404 303 
G.O.(RT)	409 295 472 304 
NO.402	479 295 535 303 
DATED.15TH	541 295 633 303 
SEP	640 295 668 303 
2022"	673 295 720 303 
Please	80 316 129 326 
check	136 316 180 325 
whether	186 316 250 325 
the	257 317 282 326 
details	288 316 339 326 
given	345 317 387 328 
by	394 316 412 327 
you	419 319 446 327 
about	454 317 498 326 
the	504 317 529 326 
insured	536 316 592 326 
persons	600 319 660 327 
in	667 317 680 326 
the	687 316 712 325 
proposal	719 316 784 327 
form	791 316 828 326 
are	834 319 859 326 
incorporated	866 316 964 327 
correctly	80 330 148 340 
in	156 330 169 339 
the	176 329 201 338 
policy	209 329 254 340 
schedule.	261 329 335 338 
If	337 329 350 338 
you	355 331 383 340 
find	391 329 420 339 
any	427 331 456 341 
discrepancy,	462 329 560 341 
please	569 329 619 340 
inform	626 329 676 338 
us	684 331 701 338 
within	708 329 755 338 
15	763 330 782 338 
days	789 329 825 340 
from	832 329 868 338 
the	875 330 901 339 
date	907 329 942 338 
of	949 329 965 338 
receipt	80 342 132 353 
of	137 342 152 351 
the	157 342 181 351 
policy,	187 342 235 353 
failing	241 342 287 354 
which	292 342 335 351 
the	341 342 366 351 
details	371 342 421 351 
relating	426 342 483 354 
to	489 342 504 351 
the	509 342 534 351 
insured	540 342 595 351 
person	601 344 652 353 
given	658 342 698 353 
in	704 342 717 351 
the	723 342 748 351 
policy	753 342 796 354 
schedule	802 342 869 351 
are	874 344 898 351 
deemed	904 342 964 351 
to	80 356 95 365 
have	101 355 137 364 
been	143 355 178 364 
accepted	185 355 252 366 
by	258 355 276 366 
you.	281 357 313 366 
Warranted	80 375 160 383 
that	167 375 198 384 
in	205 375 218 384 
case	224 377 258 384 
of	264 375 280 383 
dishonour	285 375 362 383 
of	367 375 383 383 
premium	388 375 456 386 
cheque(s),	463 375 544 386 
the	551 375 576 384 
Company	583 375 655 386 
shall	660 375 695 383 
not	702 375 727 384 
be	733 375 751 384 
liable	757 375 798 383 
under	804 375 849 383 
the	854 375 879 384 
policy	886 375 929 386 
and	936 375 964 384 
the	80 388 105 397 
policy	111 388 155 399 
shall	162 387 196 396 
be	203 387 221 396 
void	227 387 259 397 
abinitio(from	266 387 363 398 
inception).	371 387 453 399 
Expenses	81 404 152 415 
relating	157 404 214 415 
to	220 404 235 413 
the	240 404 264 413 
hospitalisation	270 404 379 415 
will	384 404 409 413 
be	415 404 433 413 
in	439 404 451 413 
proportion	458 404 536 416 
to	541 405 557 413 
the	561 404 586 413 
room	592 406 630 413 
rent	637 405 668 413 
stated	673 404 720 413 
in	726 404 739 413 
the	744 404 769 413 
policy.	773 404 823 416 
Condition	80 425 152 434 
No.	158 425 182 434 
4	188 425 198 434 
regarding	204 425 275 436 
delay	282 425 322 436 
in	328 425 341 434 
payment	347 425 413 436 
of	419 425 434 434 
claim	438 425 477 434 
shall	483 425 518 434 
read	524 425 557 434 
as	563 427 580 434 
follows	585 425 637 434 
and	642 425 670 434 
not	676 425 701 434 
as	706 427 723 434 
stated	728 425 774 434 
in	781 425 794 434 
policy	800 425 843 436 
wordings:	849 425 922 436 
"The	929 425 964 434 
Company	80 437 154 448 
shall	162 437 198 447 
pay	207 440 235 448 
interest	243 437 304 447 
as	312 440 328 447 
per	337 440 363 449 
Insurance	370 438 449 447 
Regulatory	457 437 543 448 
and	551 438 580 447 
Development	588 437 693 448 
Authority	701 438 775 449 
of	783 437 799 447 
India	806 438 846 447 
(Protection	854 437 941 448 
of	949 437 965 447 
Policyholders'	80 450 187 461 
Interests)	193 450 270 461 
Regulations,	278 451 373 462 
2017,	381 451 424 461 
in	433 451 446 460 
case	453 452 487 460 
of	494 450 509 459 
delay	515 450 557 461 
in	563 451 577 459 
payment	584 451 652 461 
of	659 450 675 459 
an	680 452 698 460 
admitted	705 450 774 459 
claim	782 450 822 459 
under	829 450 874 459 
the	880 450 905 459 
Policy"	912 450 963 461 
THE	80 468 116 477 
INSURANCE	125 468 234 478 
UNDER	244 469 307 478 
THIS	316 468 361 477 
POLICY	371 469 439 478 
IS	448 468 468 477 
SUBJECT	478 469 558 478 
TO	566 468 591 477 
CONDITIONS,	601 469 727 479 
CLAUSES,	737 468 825 479 
WARRANTIES,	834 468 966 479 
EXCLUSIONS	80 481 198 491 
ETC.	209 482 247 491 
ATTACHED.	257 482 361 491 
IMPORTANT	80 495 184 504 
IN	80 512 101 521 
THE	107 513 142 522 
EVENT	149 512 205 521 
OF	211 512 234 521 
HOSPITALIZATION	240 513 405 522 
OF	413 513 436 522 
INSURED	442 513 521 522 
PERSON,	529 513 605 523 
INTIMATION	611 512 724 522 
SHOULD	730 512 802 521 
BE	809 513 831 522 
GIVEN	838 513 893 522 
TO	900 513 924 522 
THE	930 512 964 522 
COMPANY	80 525 167 534 
IMMEDIATELY,	172 525 302 536 
HOWEVER,	310 525 402 536 
WITHIN	410 525 480 534 
24	487 525 508 534 
HRS	515 525 551 534 
FROM	558 525 606 534 
THE	613 525 647 534 
TIME	653 525 698 534 
OF	704 525 727 534 
ADMISSION.	733 525 843 534 
Toll	80 544 111 554 
Free	117 544 154 553 
No	160 544 187 553 
1800	200 545 241 554 
425	246 545 278 554 
2255	284 545 327 554 
/	333 544 342 555 
1800	348 545 390 554 
102	397 545 428 554 
4477	433 545 475 554 
Email:	482 544 534 553 
support@starhealth.in	540 544 727 555 
Fax	734 545 763 553 
No:	769 545 796 554 
1800	804 545 845 554 
425	850 545 881 554 
5522.	889 545 935 554 
In	80 565 96 574 
the	101 564 126 573 
event	132 565 174 574 
of	180 564 195 573 
the	200 564 224 573 
policy	230 564 274 576 
being	279 564 321 576 
withdrawn	326 564 405 574 
in	412 565 425 574 
future,	430 564 481 575 
intimation	488 564 564 573 
about	570 564 614 573 
the	619 564 644 573 
withdrawal	649 564 731 573 
will	737 564 762 573 
be	768 565 786 574 
sent	792 565 825 574 
3	830 565 838 574 
months	845 564 902 574 
prior	908 565 944 575 
to	949 565 964 574 
the	80 578 105 587 
date	110 578 143 587 
when	149 578 190 587 
renewal	196 578 255 587 
falls	261 578 292 587 
due.	298 578 330 587 
The	331 578 359 587 
insured	365 578 420 587 
will	426 578 451 587 
have	457 578 494 587 
the	498 578 523 587 
option	529 578 577 589 
of	583 578 598 587 
migrating	603 578 676 589 
to	681 578 696 587 
any	702 580 730 589 
other	736 578 776 587 
similar	781 578 832 587 
health	838 578 885 587 
insurance	891 578 964 587 
policy	80 590 124 602 
offered	130 590 183 600 
by	190 590 208 602 
the	214 591 238 600 
Company	244 591 315 602 
at	321 591 337 600 
the	342 591 367 600 
relevant	372 590 435 599 
time.	440 591 479 600 
Continuity	486 590 564 602 
of	569 590 584 599 
benefits	590 590 650 599 
for	655 590 677 599 
waiting	682 591 737 602 
period	743 590 791 602 
and	797 590 825 599 
bonus,	831 590 880 601 
if	888 590 898 599 
any	903 593 930 602 
and	936 591 964 600 
if	80 603 91 612 
applicable,	97 603 180 614 
will	188 603 214 612 
be	221 603 239 612 
given	246 604 288 615 
provided	296 603 364 615 
the	370 603 396 612 
insured	403 603 460 613 
had	468 603 496 613 
been	503 603 540 612 
renewing	549 604 619 614 
the	626 604 652 613 
policy	659 603 704 614 
without	711 604 770 613 
any	776 605 805 614 
break	812 603 856 613 
(or	863 603 886 615 
renewing	893 604 964 615 
within	80 617 127 625 
the	134 617 160 626 
grace	166 619 209 628 
period	217 617 265 628 
offered)	272 617 335 628 
In	80 634 96 643 
witness	102 634 159 643 
whereof	165 633 227 643 
the	232 633 257 642 
undersigned	263 633 356 644 
being	363 633 404 644 
authorized	410 633 491 643 
by	497 633 515 644 
and	521 633 548 642 
on	555 635 573 642 
behalf	580 633 627 643 
of	632 633 648 643 
the	652 633 677 642 
company	683 635 752 644 
has	758 633 784 642 
set	790 634 814 643 
his	819 633 840 643 
hand	847 633 884 643 
at	890 634 905 643 
Branch	911 633 963 642 
Office	80 646 125 655 
-	130 651 137 653 
Perambur	143 646 217 655 
on	223 649 241 655 
30th	247 646 281 655 
Day	289 647 318 658 
of	324 646 339 655 
January	349 647 409 658 
2023.	416 646 458 655 
Entered	30 892 75 899 
by	80 892 94 901 
:	115 893 118 899 
STAR_PORTAL	128 892 213 900 
For	650 892 668 899 
Star	672 892 698 899 
Health	702 892 739 899 
and	743 891 765 899 
Allied	769 891 801 899 
Insurance	806 892 864 899 
Company	868 891 924 900 
Ltd.	928 892 950 899 
Approved	30 903 85 912 
by	90 904 103 913 
:	115 905 118 911 
CUSTPORTAL	128 904 206 911 
R.Mor	747 912 820 933 
Authorised	704 943 768 950 
Signatory	772 943 829 952 
Page	891 943 919 952 
3	923 943 930 950 
of	935 943 947 950 
7	950 943 957 950 
Regd.&Corporate	51 971 152 979 
Office:	156 970 193 978 
New	207 971 232 978 
Tank	236 971 266 978 
Street,Valluvar	270 970 358 979 
Kottam	362 971 405 978 
High	409 971 436 979 
load,Nungambakkam,Chennai	449 971 623 979 
-	626 973 631 976 
600034,Phone	636 971 721 979 
:	726 972 729 977 
044-28302700	736 971 828 978 
28288800	840 971 900 978 
Toll	903 971 924 978 
Free	75 980 100 988 
Fax	105 980 125 988 
No:	129 980 149 988 
1800-425-5522	156 980 247 988 
Toll	251 980 273 987 
Free	277 980 303 988 
No:	307 980 327 988 
1800-425-2255	330 980 422 988 
/	424 980 430 988 
1800-102-4477,C	435 980 541 989 
:	558 982 561 987 
L66010TN2005PLC056649	567 980 724 988 
Email	728 980 760 988 
:support@starhealth.in	765 980 899 989 
Website	344 990 391 998 
:www.starhealth.in	396 991 508 998 
IRDAI	512 991 548 998 
Regn.no:	551 991 604 999 
129	610 991 631 998 

Star	241 27 292 42 
Health	300 27 380 42 
And	388 27 440 41 
Allied	448 27 521 42 
Insurance	529 27 655 41 
Company	663 27 785 46 
Limited	794 27 888 42 
STAR	115 41 194 56 
Health	201 50 228 56 
Personal	127 57 160 62 
&	160 57 167 62 
Caring	169 57 193 62 
Insurance	201 57 240 62 
The	97 66 111 71 
Health	114 65 140 71 
Insurance	141 66 182 71 
Specialist	185 65 225 71 
Hospitalisation	377 164 504 175 
Benefit	511 164 571 174 
Policy	576 164 626 176 
Premium	113 180 180 188 
Certificate	185 180 263 188 
for	267 180 290 188 
the	293 180 318 188 
purpose	323 181 384 190 
of	388 180 404 188 
deduction	408 180 483 188 
under	488 180 532 188 
Section	536 180 592 188 
80	596 180 615 188 
D	620 180 630 188 
of	636 180 652 188 
Income	655 180 713 188 
Tax	717 180 745 188 
(Amendment)	749 180 854 190 
Act,1986	859 180 926 190 
Policy	99 226 149 237 
No	155 227 177 236 
:	213 228 217 235 
11230238321500	227 226 361 235 
Type	552 227 593 238 
of	598 226 616 236 
Policy	621 226 671 238 
:	682 228 686 235 
Senior	693 226 742 235 
Citizens	747 226 806 236 
Red	812 226 840 235 
Carpet	846 226 897 237 
Insurance	693 239 769 248 
-	774 243 780 245 
2018	786 239 825 248 
Issue	99 251 146 260 
Office	151 251 201 260 
:	213 253 217 260 
111125-Branch	227 251 344 260 
Office	349 251 393 260 
-	398 255 405 257 
Perambur	410 251 486 260 
Address	100 276 169 285 
:	214 278 218 285 
No:	227 276 252 285 
76,Chakkravarthy	253 276 389 287 
Towers,3	394 276 458 287 
3rd	455 276 480 285 
Floor	486 276 523 285 
Madhavaram	227 289 324 298 
High	330 289 364 301 
Road,	370 289 413 300 
Perambur,	419 289 497 300 
Chennai	227 302 288 311 
-	293 306 300 309 
600011	306 302 362 311 
Chennai	227 315 287 324 
Tamil	293 315 335 324 
Nadu	341 315 379 324 
600011	385 315 441 324 
Tel	98 340 124 349 
/	129 340 138 351 
Fax	145 340 175 349 
:	213 342 217 349 
044-49136000/02/03	225 340 391 351 
Email	101 365 146 374 
:	215 368 218 375 
Perambur.bo@starhealth.in	223 365 435 376 
This	100 387 132 397 
is	137 387 149 396 
to	154 388 169 397 
certify	176 387 224 398 
that	229 387 261 397 
R	266 388 276 397 
SAMPATHKUMAR	283 387 413 396 
.	423 394 427 396 
has	434 387 460 397 
paid	466 388 498 399 
Rs	505 388 522 397 
21,240/-	528 387 595 398 
(Total	602 387 646 398 
Premium	652 387 721 397 
:	727 389 731 396 
Indian	738 387 786 396 
Rupees	792 388 848 399 
Twenty	853 387 909 398 
One	915 388 945 397 
thousand	100 401 175 410 
two	185 401 214 410 
hundred	224 401 292 410 
forty	300 401 340 412 
only	349 401 383 412 
)	393 401 398 412 
towards	408 401 474 410 
Premium	483 401 555 410 
for	564 401 588 410 
Hospitalization	596 401 719 412 
Insurance	728 401 810 410 
vide	819 401 854 410 
Policy	863 401 910 412 
No:	920 401 946 410 
11230238321500	100 413 246 423 
for	255 413 278 423 
the	286 414 313 423 
Period	322 413 373 423 
30-Jan-2023	382 413 486 422 
To	496 414 516 423 
29-Jan-2024	525 413 630 422 
issued	639 413 691 423 
on	701 416 720 423 
30-Jan-2023.	729 413 839 423 
Payment	102 438 175 450 
received	182 438 252 448 
by	259 438 278 450 
CC	285 438 309 448 
vide	314 438 349 448 
Receipt	356 438 417 451 
No:	423 438 451 448 
111125/CN/2023/0041054907	459 439 693 450 
Receipt	699 439 755 450 
Date:	760 439 800 448 
30-Jan-2023	809 439 904 448 
Note	101 485 140 494 
:-This	146 485 193 494 
Certificate	200 485 279 494 
must	286 486 325 494 
be	332 485 350 494 
surrendered	357 485 451 494 
to	457 486 473 494 
the	480 485 505 494 
Insurance	512 485 589 494 
Company	596 485 669 496 
for	676 485 698 494 
issuance	704 485 771 494 
of	777 485 793 494 
fresh	799 485 837 494 
Certificate	845 485 925 494 
in	932 485 945 494 
case	162 501 195 507 
of	202 498 217 507 
Cancellation	223 498 318 507 
of	325 498 341 507 
the	346 498 372 507 
Policy	379 498 423 509 
or	430 500 446 507 
any	453 500 480 509 
alteration	486 498 561 507 
in	569 499 582 507 
the	589 499 614 507 
Insurance	620 498 698 507 
affecting	705 498 773 510 
the	779 499 805 507 
Premium.	811 499 885 508 
Date	99 539 138 548 
:	159 542 163 549 
30-Jan-2023	170 540 266 549 
For	625 540 652 549 
and	657 540 688 549 
on	693 542 714 549 
behalf	720 540 773 549 
of	778 540 796 549 
Place	99 563 143 573 
:	159 566 163 573 
Branch	170 563 222 572 
Office	228 563 271 573 
-	277 568 283 570 
Perambur	289 563 364 573 
Star	537 563 572 572 
Health	578 562 632 572 
and	638 562 669 572 
Allied	675 562 722 572 
Insurance	727 563 814 572 
Company	819 563 898 574 
Ltd.	903 562 934 572 
IRDA	100 594 149 604 
Regn.No.129	156 593 276 606 
R.Mor	747 591 820 613 
Corporate	100 624 194 637 
Identity	200 624 276 637 
Number	283 624 357 634 
L66010TN2005PLC056649	362 624 613 634 
Authorised	719 628 811 638 
Signatory	817 628 899 640 
Email	101 655 152 665 
ID:	158 655 186 665 
info@starhealth.in	194 655 367 667 
Entered	30 892 75 899 
by	80 891 94 900 
:	115 893 118 899 
STAR_PORTAL	128 892 213 900 
For	649 892 668 899 
Star	672 892 698 899 
Health	701 892 739 899 
and	743 892 765 899 
Allied	769 891 801 899 
Insurance	805 892 864 899 
Company	868 891 924 900 
Ltd.	928 892 950 899 
Approved	30 904 86 913 
by	90 903 104 912 
:	115 905 118 911 
CUSTPORTAL	128 904 206 911 
R.Mor	747 911 820 932 
Authorised	704 943 768 950 
Signatory	772 943 828 952 
Page	890 943 919 952 
4	922 943 930 950 
of	935 943 946 950 
7	950 943 957 950 
Regd.&Corporate	51 971 152 979 
Office:	156 971 193 978 
1,New	196 971 232 979 
Tank	236 971 266 977 
Street,Valluvar	269 971 357 979 
Kottam	362 971 405 978 
High	409 971 435 979 
Road,Nungambakkam,Chennai	440 971 623 979 
-	626 973 632 975 
600034,Phone	636 971 722 979 
:	726 972 729 978 
044-28302700	735 971 828 978 
/	829 971 836 979 
28288800	840 971 900 978 
Toll	903 971 924 978 
Free	75 980 100 988 
Fax	105 980 125 988 
